model,rf_bin,top1_mean,top1_std
Deep Residual MLP,"[0,5)",0.8441589595423483,0.004174164595334099
Deep Residual MLP,"[5,15)",0.8890363584407559,0.003812695611656684
Deep Residual MLP,"[15,50)",0.783206426778384,0.005763116702104559
Deep Residual MLP,>=50,0.4872150988484332,0.023382730799377253
Random Forest,"[0,5)",0.4505574099324301,0.008245925139586122
Random Forest,"[5,15)",0.4983339815620396,0.008202997406064784
Random Forest,"[15,50)",0.4023771984744197,0.006241178768347849
Random Forest,>=50,0.2706213825196767,0.01597251565499248
